date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2021-12-03T00:00:00.000,MP,1077,10840,72152,0,70.4
2021-12-03T00:00:00.000,AL,155861,2334330,2811373,294,46.4
2021-12-03T00:00:00.000,IH2,36284,919028,934486,168,38
2021-12-03T00:00:00.000,NM,105286,1301110,1752947,6705,63.9
2021-12-03T00:00:00.000,NH,102425,813219,1237786,60,65
2021-12-03T00:00:00.000,NE,85629,962368,1564677,5287,57.7
2021-12-03T00:00:00.000,KY,212904,2278781,2979620,1943,52.4
2021-12-03T00:00:00.000,IA,162576,1712652,2376733,415,57
2021-12-03T00:00:00.000,DC,33223,430076,709331,473,64.9
2021-12-03T00:00:00.000,OR,249844,2349708,3663662,6514,64.3
2021-12-03T00:00:00.000,RP,2334,27416,5006,0,73.7
2021-12-03T00:00:00.000,WI,305858,3199987,4786314,1538,59.8
2021-12-03T00:00:00.000,GA,304727,4987917,7167147,13156,49.8
2021-12-03T00:00:00.000,OK,137011,2007185,2785516,1020,51.8
2021-12-03T00:00:00.000,KS,121417,1453541,2150963,3064,54.9
2021-12-03T00:00:00.000,GU,11089,89529,177274,49,73.6
2021-12-03T00:00:00.000,CO,308940,3427327,4975785,6825,63.6
2021-12-03T00:00:00.000,IL,613670,6547827,10824793,24742,61.7
2021-12-03T00:00:00.000,VA,235644,3348021,3000978,281,0
2021-12-03T00:00:00.000,ME,131637,921260,1208702,2220,72.7
2021-12-03T00:00:00.000,LA,177291,2167040,2908458,2765,49
2021-12-03T00:00:00.000,TN,237086,3166752,4814414,40791,49.7
2021-12-03T00:00:00.000,NJ,499829,5257485,7927684,684,68.2
2021-12-03T00:00:00.000,ID,76116,777876,1046419,2699,45.4
2021-12-03T00:00:00.000,MO,228305,2720240,4551625,2303,51.2
2021-12-03T00:00:00.000,SD,36567,464858,665563,132,55
2021-12-03T00:00:00.000,ND,35991,360700,511646,309,49.1
2021-12-03T00:00:00.000,WY,26878,283952,329099,575,45.8
2021-12-03T00:00:00.000,AS,547,18797,48522,1,66.2
2021-12-03T00:00:00.000,MA,368459,4561283,6813619,424,71.6
2021-12-03T00:00:00.000,RI,59380,672779,1032281,1206,73.1
2021-12-03T00:00:00.000,BP2,13148,107347,137756,31,0
2021-12-03T00:00:00.000,AZ,325971,3880869,5474868,18993,55
2021-12-03T00:00:00.000,FL,1336120,11729942,18078023,113316,61.6
2021-12-03T00:00:00.000,VT,49214,447962,633017,875,73.2
2021-12-03T00:00:00.000,AK,39623,377410,549766,813,54.5
2021-12-03T00:00:00.000,PA,665233,7271945,10580637,1344,58.8
2021-12-03T00:00:00.000,AR,109429,1533261,1914767,3455,49.6
2021-12-03T00:00:00.000,NC,462494,5127946,8113080,870,54.5
2021-12-03T00:00:00.000,MI,416575,5092400,7392829,1919,54.9
2021-12-03T00:00:00.000,NY,1251388,11151329,17892949,11980,68.8
2021-12-03T00:00:00.000,DE,55429,565860,836760,1723,61.9
2021-12-03T00:00:00.000,VI,1882,35718,83747,0,49.2
2021-12-03T00:00:00.000,WA,441959,4348744,6715522,8673,65.4
2021-12-03T00:00:00.000,WV,50753,902520,1173388,694,49
2021-12-03T00:00:00.000,CT,226255,2270673,3558056,1184,72.3
2021-12-03T00:00:00.000,MD,332911,3543804,5686970,14058,68
2021-12-03T00:00:00.000,IN,279337,2878232,4666325,26555,50.8
2021-12-03T00:00:00.000,CA,2097082,22848900,35324297,15304,63.6
2021-12-03T00:00:00.000,OH,562503,5623932,8383021,18064,53.4
2021-12-03T00:00:00.000,MS,81093,1319460,1814597,2054,47.1
2021-12-03T00:00:00.000,MN,330820,3094347,4939809,2658,62.9
2021-12-03T00:00:00.000,DD2,296123,2232540,4074083,20806,0
2021-12-03T00:00:00.000,VA,451418,4767180,8011235,7319,65.4
2021-12-03T00:00:00.000,FM,12428,65770,2221,2,41.6
2021-12-03T00:00:00.000,TX,1381971,14187567,22076751,3023,55
2021-12-03T00:00:00.000,NV,169707,1405703,2423236,509,54.7
2021-12-03T00:00:00.000,MH,2313,40810,2429,2,28.3
2021-12-03T00:00:00.000,SC,206279,2439739,3605747,1991,51.6
2021-12-03T00:00:00.000,HI,55560,673882,1277534,94064,61.4
2021-12-03T00:00:00.000,MT,54841,570555,712755,1572,52.1
2021-12-03T00:00:00.000,UT,163732,1494135,2488057,294,55.9
